assignment_id,student_id,assignment_name,grade,avg_time_spent,completed,sum_completed,count_totals,completion_rate,start_date,month
1,1,Assignment 1,58,149,True,8,11,0.7272727272727273,2024-10-11,Oct
1,2,Assignment 1,45,162,True,11,11,1.0,2025-02-19,Feb
1,3,Assignment 1,54,192,True,10,11,0.9090909090909091,2024-12-29,Dec
1,4,Assignment 1,38,170,True,11,11,1.0,2025-02-15,Feb
1,5,Assignment 1,32,257,True,10,11,0.9090909090909091,2025-01-13,Jan
1,6,Assignment 1,69,157,True,11,11,1.0,2024-10-12,Oct
1,7,Assignment 1,55,64,True,11,11,1.0,2024-11-13,Nov
1,8,Assignment 1,53,142,True,10,11,0.9090909090909091,2024-09-09,Sep
1,9,Assignment 1,51,208,True,9,11,0.8181818181818182,2025-02-02,Feb
1,10,Assignment 1,56,62,True,11,11,1.0,2024-09-28,Sep
1,11,Assignment 1,32,169,True,11,11,1.0,2024-12-06,Dec
1,12,Assignment 1,0,0,False,5,11,0.45454545454545453,2024-08-08,Aug
1,13,Assignment 1,0,0,False,10,11,0.9090909090909091,2025-01-04,Jan
1,14,Assignment 1,66,218,True,11,11,1.0,2024-11-28,Nov
1,15,Assignment 1,69,112,True,10,11,0.9090909090909091,2025-02-20,Feb
1,16,Assignment 1,72,176,True,9,11,0.8181818181818182,2024-09-21,Sep
1,17,Assignment 1,67,120,True,9,11,0.8181818181818182,2025-02-27,Feb
1,18,Assignment 1,66,101,True,8,11,0.7272727272727273,2024-12-25,Dec
1,19,Assignment 1,69,162,True,11,11,1.0,2024-08-01,Aug
1,20,Assignment 1,100,121,True,11,11,1.0,2024-09-24,Sep
1,21,Assignment 1,100,154,True,8,11,0.7272727272727273,2025-02-10,Feb
1,22,Assignment 1,75,253,True,10,11,0.9090909090909091,2024-08-20,Aug
1,23,Assignment 1,80,166,True,10,11,0.9090909090909091,2024-10-14,Oct
1,24,Assignment 1,89,263,True,8,11,0.7272727272727273,2024-08-10,Aug
1,25,Assignment 1,71,201,True,11,11,1.0,2024-08-07,Aug
1,26,Assignment 1,82,243,True,10,11,0.9090909090909091,2025-02-26,Feb
1,27,Assignment 1,74,155,True,10,11,0.9090909090909091,2024-08-23,Aug
1,28,Assignment 1,82,143,True,9,11,0.8181818181818182,2024-10-24,Oct
1,29,Assignment 1,87,85,True,10,11,0.9090909090909091,2024-09-01,Sep
1,30,Assignment 1,78,184,True,10,11,0.9090909090909091,2024-12-19,Dec
2,1,Assignment 2,48,105,True,8,11,0.7272727272727273,2024-08-14,Aug
2,2,Assignment 2,55,162,True,11,11,1.0,2024-08-22,Aug
2,3,Assignment 2,31,142,True,10,11,0.9090909090909091,2024-08-28,Aug
2,4,Assignment 2,66,184,True,11,11,1.0,2024-09-07,Sep
2,5,Assignment 2,44,111,True,10,11,0.9090909090909091,2025-03-19,Mar
2,6,Assignment 2,43,167,True,11,11,1.0,2024-09-08,Sep
2,7,Assignment 2,72,217,True,11,11,1.0,2025-02-06,Feb
2,8,Assignment 2,59,156,True,10,11,0.9090909090909091,2024-09-20,Sep
2,9,Assignment 2,0,0,False,9,11,0.8181818181818182,2025-01-06,Jan
2,10,Assignment 2,38,90,True,11,11,1.0,2024-11-16,Nov
2,11,Assignment 2,60,148,True,11,11,1.0,2024-09-19,Sep
2,12,Assignment 2,0,0,False,5,11,0.45454545454545453,2025-03-20,Mar
2,13,Assignment 2,70,160,True,10,11,0.9090909090909091,2024-09-25,Sep
2,14,Assignment 2,67,232,True,11,11,1.0,2025-03-16,Mar
2,15,Assignment 2,54,78,True,10,11,0.9090909090909091,2024-11-01,Nov
2,16,Assignment 2,78,98,True,9,11,0.8181818181818182,2024-11-19,Nov
2,17,Assignment 2,0,0,False,9,11,0.8181818181818182,2024-11-30,Nov
2,18,Assignment 2,55,154,True,8,11,0.7272727272727273,2024-09-25,Sep
2,19,Assignment 2,51,104,True,11,11,1.0,2025-03-13,Mar
2,20,Assignment 2,78,191,True,11,11,1.0,2024-11-05,Nov
2,21,Assignment 2,42,142,True,8,11,0.7272727272727273,2025-03-10,Mar
2,22,Assignment 2,72,193,True,10,11,0.9090909090909091,2024-08-10,Aug
2,23,Assignment 2,85,139,True,10,11,0.9090909090909091,2024-09-24,Sep
2,24,Assignment 2,51,159,True,8,11,0.7272727272727273,2025-01-17,Jan
2,25,Assignment 2,56,124,True,11,11,1.0,2024-12-17,Dec
2,26,Assignment 2,78,111,True,10,11,0.9090909090909091,2024-10-15,Oct
2,27,Assignment 2,85,186,True,10,11,0.9090909090909091,2024-12-11,Dec
2,28,Assignment 2,90,152,True,9,11,0.8181818181818182,2025-02-14,Feb
2,29,Assignment 2,75,85,True,10,11,0.9090909090909091,2025-01-05,Jan
2,30,Assignment 2,81,242,True,10,11,0.9090909090909091,2024-09-07,Sep
3,1,Assignment 3,60,153,True,8,11,0.7272727272727273,2025-02-20,Feb
3,2,Assignment 3,23,124,True,11,11,1.0,2025-01-06,Jan
