assignment_id,student_id,assignment_name,grade,avg_time_spent,completed,sum_completed,count_totals,completion_rate
1,1,Assignment 1,58,149,True,8,11,0.7272727272727273
1,2,Assignment 1,45,162,True,11,11,1.0
1,3,Assignment 1,54,192,True,10,11,0.9090909090909091
1,4,Assignment 1,38,170,True,11,11,1.0
1,5,Assignment 1,32,257,True,10,11,0.9090909090909091
1,6,Assignment 1,69,157,True,11,11,1.0
1,7,Assignment 1,55,64,True,11,11,1.0
1,8,Assignment 1,53,142,True,10,11,0.9090909090909091
1,9,Assignment 1,51,208,True,9,11,0.8181818181818182
1,10,Assignment 1,56,62,True,11,11,1.0
1,11,Assignment 1,32,169,True,11,11,1.0
1,12,Assignment 1,0,0,False,5,11,0.45454545454545453
1,13,Assignment 1,0,0,False,10,11,0.9090909090909091
1,14,Assignment 1,66,218,True,11,11,1.0
1,15,Assignment 1,69,112,True,10,11,0.9090909090909091
1,16,Assignment 1,72,176,True,9,11,0.8181818181818182
1,17,Assignment 1,67,120,True,9,11,0.8181818181818182
1,18,Assignment 1,66,101,True,8,11,0.7272727272727273
1,19,Assignment 1,69,162,True,11,11,1.0
1,20,Assignment 1,100,121,True,11,11,1.0
1,21,Assignment 1,100,154,True,8,11,0.7272727272727273
1,22,Assignment 1,75,253,True,10,11,0.9090909090909091
1,23,Assignment 1,80,166,True,10,11,0.9090909090909091
1,24,Assignment 1,89,263,True,8,11,0.7272727272727273
1,25,Assignment 1,71,201,True,11,11,1.0
1,26,Assignment 1,82,243,True,10,11,0.9090909090909091
1,27,Assignment 1,74,155,True,10,11,0.9090909090909091
1,28,Assignment 1,82,143,True,9,11,0.8181818181818182
1,29,Assignment 1,87,85,True,10,11,0.9090909090909091
1,30,Assignment 1,78,184,True,10,11,0.9090909090909091
2,1,Assignment 2,48,105,True,8,11,0.7272727272727273
2,2,Assignment 2,55,162,True,11,11,1.0
2,3,Assignment 2,31,142,True,10,11,0.9090909090909091
2,4,Assignment 2,66,184,True,11,11,1.0
2,5,Assignment 2,44,111,True,10,11,0.9090909090909091
2,6,Assignment 2,43,167,True,11,11,1.0
2,7,Assignment 2,72,217,True,11,11,1.0
